epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,494.391,1.11103,0.58769,0.00912,0.93188,0.94277,0.97377,0.73895,0.90775,0.30962,0.01046,0.000571054,0.000571054,0.000571054
29,510.61,1.10422,0.56354,0.0089,0.94906,0.92877,0.98303,0.69724,1.04167,0.32273,0.01118,0.000551056,0.000551056,0.000551056
30,526.875,1.07651,0.56576,0.00859,0.89953,0.96172,0.96716,0.73996,0.85305,0.33512,0.00938,0.000531058,0.000531058,0.000531058
31,542.93,1.05659,0.56056,0.0089,0.93309,0.96987,0.97239,0.76711,0.8419,0.35445,0.00877,0.00051106,0.00051106,0.00051106
32,558.999,1.03844,0.54242,0.00885,0.95833,0.95496,0.9865,0.77552,0.87649,0.41085,0.00925,0.000491062,0.000491062,0.000491062
33,575.623,1.0328,0.52482,0.00854,0.95019,0.96671,0.98957,0.80273,0.72864,0.3036,0.00755,0.000471064,0.000471064,0.000471064
34,592.385,0.99912,0.52574,0.00811,0.90452,0.9749,0.98283,0.80037,0.69644,0.27129,0.00731,0.000451066,0.000451066,0.000451066
35,608.694,1.0137,0.51196,0.00876,0.90989,0.99303,0.99333,0.79068,0.83273,0.30257,0.00836,0.000431068,0.000431068,0.000431068
36,625.305,1.00422,0.49821,0.00802,0.93926,0.99585,0.99164,0.79984,0.78692,0.24383,0.00839,0.00041107,0.00041107,0.00041107
37,641.916,1.01356,0.50334,0.00818,0.9322,0.95793,0.98293,0.76595,0.83705,0.36373,0.00932,0.000391072,0.000391072,0.000391072
38,658.271,0.97882,0.5178,0.0082,0.94146,0.97281,0.98146,0.7978,0.69373,0.32545,0.00708,0.000371074,0.000371074,0.000371074
39,675.229,0.96522,0.47197,0.00771,0.89598,0.98067,0.97986,0.78916,0.71569,0.30686,0.0076,0.000351076,0.000351076,0.000351076
40,691.805,0.97481,0.48172,0.00818,0.94602,0.98853,0.98567,0.76366,0.85674,0.29679,0.00962,0.000331078,0.000331078,0.000331078
41,706.717,0.78799,0.3606,0.00754,0.93639,0.97775,0.9807,0.79227,0.75081,0.27052,0.0074,0.00031108,0.00031108,0.00031108
